问题编号,体系,核心问题,机制假说,主要证据链,支持证据,反向证据,替代解释,独立答案,判断边界,指标编号,相关缺口
F3,金融周期及资产负债表分析,资产价格如何影响偿债与融资？,地产价格、成交和回款变化可能影响抵押品、企业现金流及地方土地收入。,资产价格与收入→债务及期限→偿付与再融资→金融机构和其他部门,房价与成交、开发资金、土地收入和相关融资相互印证。,价格下降但成交回升、回款改善或现金缓冲充足。,住房结构变化、以价换量、土地供给节奏和项目交付。,修复程度、融资压力及风险传导位置,成交均价受结构影响，不能等同于同质住房价格指数或抵押品价值。,A044；A045；B017；B018；B019；B020；B021；B022；B023；B024；B028；E007；E008,GAP007；GAP008；GAP011；GAP012；GAP019；GAP022；GAP023
F4,金融周期及资产负债表分析,风险如何跨部门传递？,地产和企业支付能力变化可能通过财政、贷款及金融机构损益传递。,资产价格与收入→债务及期限→偿付与再融资→金融机构和其他部门,债务/回款变化与相关财政或银行指标在匹配范围内同向变化。,银行指标改善由核销或分母扩张造成，或全国数据掩盖局部风险。,风险处置、会计确认时滞、监管口径及机构样本变化。,修复程度、融资压力及风险传导位置,银行不良率下降不单独证明风险消失；无地域匹配数据不下城市银行结论。,B023；B026；B028；B038；B039；B040；B041；B042；B043；B044；B045；B046；B047；B048；B049；B050,GAP007；GAP008；GAP011；GAP012；GAP019；GAP022；GAP023
G1,新古典增长视角,劳动力数量和质量如何变化？,劳动供给由人口结构、就业参与、健康、教育及技能共同影响。,人口与就业、教育与技能、投资与资本形成→产出和劳动生产率,劳动年龄人口、就业、教育与技能指标给出一致或分化的结构趋势。,人口下降但参与率、工时或人力资本改善抵消部分影响。,退休制度、迁移、教育扩张和调查口径差异。,可观察的长期增长支撑、效率变化及要素约束,在校生规模不是现有劳动力技能水平；不同年龄区间不得拼接。,A025；A026；A027；A028；A029；A030；C021；C022；C023；C024；C025；C026；C027；C028；C029；C030；C031；C032；C033；C056；C057；C058,GAP003；GAP009；GAP014；GAP019；GAP020
G2,新古典增长视角,投资与产出是否协调？,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,人口与就业、教育与技能、投资与资本形成→产出和劳动生产率,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,可观察的长期增长支撑、效率变化及要素约束,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,A004；A005；A007；B013；B014；B015；B016；C007；C050；E001；E002；E003；E004；E005；E006；R009,GAP003；GAP009；GAP014；GAP019；GAP020
G3,新古典增长视角,劳动生产率是否改善？,可比实际产出与匹配就业人数之比反映单位就业者产出。,人口与就业、教育与技能、投资与资本形成→产出和劳动生产率,同版本劳动生产率持续改善，并区分就业、产出与产业结构贡献线索。,改善来自就业分母缩减，或名义价格上涨而非实物效率。,资本深化、工时、行业构成和就业统计修订。,可观察的长期增长支撑、效率变化及要素约束,劳动生产率不等同TFP，不用名义GDP/就业冒充实际劳动生产率。,A002；A004；A005；A011；A027；A028；C056；C057；C058；R001,GAP003；GAP009；GAP014；GAP019；GAP020
G4,新古典增长视角,行业和地区有哪些效率差异？,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,人口与就业、教育与技能、投资与资本形成→产出和劳动生产率,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,可观察的长期增长支撑、效率变化及要素约束,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,A004；A005；A010；A011；A014；B013；B014；B015；C027；C033；C056；C057；C058；R001,GAP003；GAP009；GAP014；GAP019；GAP020
I1,熊彼特主义,创新投入是否形成成果？,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发投入→创新成果→应用与扩散→经营表现→产业更替,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,创新转化程度、新增长动力及转型成本,不以当年研发除以当年授权专利简单衡量研发效率。,C001；C002；C003；C004；C005；C006；C007；C008；C009；C010；C011；C012；C013；C014,GAP015；GAP019
I2,熊彼特主义,成果是否进入生产和市场？,知识成果经交易、应用、设备和流程扩散影响生产。,研发投入→创新成果→应用与扩散→经营表现→产业更替,技术交易、新产品或高技术活动与应用端产出相互印证。,合同额增长但履约、销售或扩散证据不足。,合同口径、关联交易、进口设备及市场周期。,创新转化程度、新增长动力及转型成本,技术合同成交额不等于当年研发成果收入，也不是已实现现金流。,B016；C015；C016；C017；C018；C019；C059；E004,GAP015；GAP019
I3,熊彼特主义,新产业是否形成收入与回报？,创新必须结合需求与经营结果观察可持续性。,研发投入→创新成果→应用与扩散→经营表现→产业更替,新产业增加值/收入增长，相关利润和利用率提供补充。,产量或销售扩张伴随降价、亏损或库存积压。,新进入企业前期投入、补贴、产品价格和统计范围。,创新转化程度、新增长动力及转型成本,公开行业总体利润不能归因到全部创新企业，不以规模增长证明投资回报。,B001；B003；B009；C009；C015；C016；C018；C059；E001；E004；E005,GAP015；GAP019
I4,熊彼特主义,新旧更替是否改善就业与效率？,新活动扩张与旧活动收缩可能带来就业重配及效率提升，也伴随转型成本。,研发投入→创新成果→应用与扩散→经营表现→产业更替,新旧行业活动与就业/工资、生产率变化相互对应。,新产业增加但就业承接弱，旧产业退出或人员转岗证据不足。,企业注册与实际经营不同、外包、统计单位升降规。,创新转化程度、新增长动力及转型成本,缺少企业连续追踪时不测算净创造性破坏贡献。,A011；A028；C027；C030；C031；C056；C057；C058；E001；R017,GAP015；GAP019
S1,新结构经济学,产业结构是否适应当地要素条件？,产业对技能、资本、能源和市场的要求应与区域条件共同观察。,要素条件→基础设施与公共服务→产业配置与关联→市场竞争力和回报,产业结构与技能/人口、能源、投资和市场数据可相互解释。,产能扩张与当地要素供给、销售和收入表现持续背离。,跨区要素流动、总部经济、资源禀赋及产业链分工。,产业适配程度、升级路径及发展瓶颈,不能仅凭产业占比指定某地应当发展或退出某个产业。,A004；A005；A010；B015；C001；C006；C027；C030；C033；C049；C051；C052；R017,GAP010；GAP018；GAP019
S2,新结构经济学,基础设施和公共服务有什么约束？,交通、能源和教育健康服务影响生产连接、劳动力及交易成本。,要素条件→基础设施与公共服务→产业配置与关联→市场竞争力和回报,设施数量与实际使用、运输活动和公共服务指标联合呈现。,供给增加但利用不高，或总体充足仍有局部拥堵与短缺。,规模效应、人口密度、地理条件和利用口径。,产业适配程度、升级路径及发展瓶颈,里程、装机和财政支出是供给或投入，不能直接等同服务效率。,B026；C010；C027；C028；C029；C030；C031；C032；C033；C043；C044；C049；C050；C051；C052；C053；C054；C055,GAP010；GAP018；GAP019
S3,新结构经济学,升级是否形成配套与市场？,产业升级需有投入来源、上下游联系及最终需求承接。,要素条件→基础设施与公共服务→产业配置与关联→市场竞争力和回报,投入产出联系、工业分项和进出口结构提供匹配证据。,高技术占比上升但配套、订单或盈利证据弱。,价格、加工贸易、外需周期、再出口和分类重叠。,产业适配程度、升级路径及发展瓶颈,技术产业分类与行业门类有重叠，不得相加为经济总量。,A004；A005；B051；B052；C008；C009；C013；C014；C015；C016；C017；C018；C019；C052；C059；E003；E004；R017,GAP010；GAP018；GAP019
S4,新结构经济学,扩张是否伴随利用率和回报改善？,新增资本与产能应结合利用和经营结果检验可持续性。,要素条件→基础设施与公共服务→产业配置与关联→市场竞争力和回报,相关投资、产能利用、销售和利润在合理项目期内同步改善。,投资持续上升而利用率、价格或利润承压。,学习期、公共品外部收益、替代旧产能和周期冲击。,产业适配程度、升级路径及发展瓶颈,基建社会收益与企业财务收益不同，不能用工业利润率评价全部公共项目。,A059；A060；A061；A062；A063；B001；B003；B009；B012；B013；B015；B016；B017；C049；C050；E001；E005,GAP010；GAP018；GAP019
D1,马克思主义政治经济学,资本积累与利润实现是否协调？,资本形成、生产扩张与销售和利润之间的关系体现再生产的经营约束。,生产与积累→利润和收入分配→消费与储蓄→再投资与再生产,积累扩张同时有收入、利润和库存周转支撑。,生产及投资增长而利润、回款和需求不足。,价格周期、会计变化、公共投资以及产业阶段差异。,积累与分配协调程度、群体差异及持续性约束,工业利润率不是马克思理论的一般利润率，不能跨口径套算。,A007；B001；B002；B003；B006；B007；B008；B009；B012；B015；E001；E002；R008；R009,GAP013；GAP016；GAP017；GAP019
D2,马克思主义政治经济学,劳动收入是否分享生产率改善？,生产率收益在劳动报酬、利润与其他收入间的分配影响增长的受益范围。,生产与积累→利润和收入分配→消费与储蓄→再投资与再生产,同范围实际工资/劳动报酬和劳动生产率在可比期间共同改善。,平均工资上涨但中位收入较弱，或就业覆盖收缩。,行业组成、自雇混合收入、税费与社保、就业单位样本。,积累与分配协调程度、群体差异及持续性约束,不能用城镇单位工资对全国劳动生产率直接推断劳动报酬份额变化。,A011；A014；A015；A027；A028；C034；C037；C039；C056；C057；C058；R002；R015,GAP013；GAP016；GAP017；GAP019
D3,马克思主义政治经济学,分配如何影响消费能力？,不同收入群体的资源、负担和保障差异可能影响消费能力，但需要群体消费证据。,生产与积累→利润和收入分配→消费与储蓄→再投资与再生产,收入分组、城乡差异、消费和保障证据共同支持受益面判断。,收入分布变化却没有匹配群体消费数据。,生命周期、家庭规模、住房负担、资产与收入不同。,积累与分配协调程度、群体差异及持续性约束,无分组消费资料时不估算各收入组边际消费倾向；收入五等份不是财富五等份。,A014；A015；A016；A017；A018；A019；A056；C021；C022；C023；C024；C034；C035；C036；C037；C038；C039；C040；C041；C042；C043；C044；C045；C046；C047；C048；C056；C057；C058；R004；R005；R006；R007；R013；R016,GAP013；GAP016；GAP017；GAP019
D4,马克思主义政治经济学,生产、消费和再投资有哪些张力？,部门收入、储蓄与资本形成联系揭示资金余缺及支出衔接。,生产与积累→利润和收入分配→消费与储蓄→再投资与再生产,以资金流量账户连接部门分配、储蓄、投资与净金融投资。,现象依赖错误加总、表间版本不一或将存款增加当作储蓄。,对外收支、资本转移、其他非金融资产和统计差异。,积累与分配协调程度、群体差异及持续性约束,部门余额关系是核算联系，不是因果关系；统计差额保留，不强制配平。,B053；B054；B055；B056；R001；R002；R003；R004；R005；R006；R007；R008；R009；R010；R011；R012；R013；R014；R015；R016,GAP013；GAP016；GAP017；GAP019
