指标编号,指标名称,模块,性质,经济含义/定义,单位,统计对象/范围,频率,时点/期间,存量/流量,价格口径,当期/累计,来源编号,原文定位,历史覆盖证据,更新规律,口径断点/修订,公式（文字定义）,输入指标,适用条件,对应体系,问题编号,可能解释,配套证据,误读风险,共享证据组,维度范围,原文链接
A012,GDP名义同比增速,名义支出,透明派生,同一修订版本现价GDP相对上期变化。,%,全国经济领土常住单位，不含港澳台,年度（季度须核验同口径基期）,比率,比率,名义,全年,A_S01,表1现价GDP；2024基期A_S02附件1,表2—3实际展示2020—2025年各季同比、季调环比；附件记载1992年起季度核算、2015年三季度改分季核算、2011年起公布环比。,季度、年度,采用最新修订历史基期；2015年三季度季度核算改分季；经济普查、分类和基期更换后会追溯修订。,100×(A001_t/A001_t-1−1),A001,t与t-1须同覆盖、同币种、同累计长度；本例2025初步数配2024最终核实基期。,M,M1,把名义规模变化与实际增长分开。,不变价同比；GDP平减指数,旧公报初步基期不可混用；跨期同口径检查不可省略。,EG-国民核算,全国：已覆盖（全国经济领土常住单位，不含港澳台）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260120_1962349.html
A013,GDP隐含平减指数同比变化,总产出价格,透明派生,用名义与实际GDP增长恒等关系计算总体价格变化。,%,全国GDP核算范围,年度,比率,价格,不适用,全年,A_S01,A_S01表1实际增长、A_S02最终基期,表2—3实际展示2020—2025年各季同比、季调环比；附件记载1992年起季度核算、2015年三季度改分季核算、2011年起公布环比。,季度、年度,采用最新修订历史基期；2015年三季度季度核算改分季；经济普查、分类和基期更换后会追溯修订。,100×((1+A012/100)/(1+A002/100)−1),A012；A002,同期间名义与实际GDP增长，采用可比修订基期；标记为派生近似数。,M,M1,透明拆分名义和实际增长差异。,CPI；PPI；行业增加值,不是CPI；不是自行估算产出缺口；舍入增速使结果仅近似。,EG-国民核算,全国：已覆盖（全国GDP核算范围）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260120_1962349.html
A014,居民人均可支配收入,收入,公开发布,居民可用于消费和储蓄的现金及实物收入人均值。,元/人,全国住户调查居民,季度累计、年度,期间,流量,名义,累计,A_S04,一居民收入、表1,附注明确按季发布；31省近2000县抽取16万户的住户调查。,季度累计、年度,季度不含自产自用、年度包含；不能把年度减前三季度视为严格同口径第四季度。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,D；G；K；M,K2；K3；M4；G4；D2；D3,观察家庭消费预算基础。,实际收入增速；消费支出；分布,不是工资，不能代表中位数或任一分位。,EG-住户调查,全国：已覆盖（全国住户调查居民）；省级：已覆盖（北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：已覆盖（全国居民；城镇居民；农村居民）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html
A015,居民人均可支配收入实际增速,收入购买力,公开发布,住户可支配收入扣除价格因素的同比变化。,%,全国住户调查居民,季度累计、年度,比率,比率,实际,累计,A_S04,一居民收入、表1括号中实际增速,附注明确按季发布；31省近2000县抽取16万户的住户调查。,季度累计、年度,季度不含自产自用、年度包含；不能把年度减前三季度视为严格同口径第四季度。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,D；K,K2；K3；D2；D3,检验购买力变化。,名义收入；CPI,原始收入现价比值不是实际增速。,EG-住户调查,全国：已覆盖（全国住户调查居民）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：已覆盖（全国居民；城镇居民；农村居民）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html
A016,居民人均消费支出,消费,公开发布,用于日常家庭消费的现金及实物支出人均值。,元/人,全国住户调查居民,季度累计、年度,期间,流量,名义,累计,A_S04,二消费、表1,附注明确按季发布；31省近2000县抽取16万户的住户调查。,季度累计、年度,季度不含自产自用、年度包含；不能把年度减前三季度视为严格同口径第四季度。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,D；K；M,K1；K2；K3；K4；M2；M3；M4；D3,需求端住户消费水平。,收入；实际消费增长；服务消费占比,不是社零或全部国民核算居民消费。,EG-住户调查,全国：已覆盖（全国住户调查居民）；省级：部分覆盖（北京）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：已覆盖（全国居民；城镇居民；农村居民）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html
A017,居民人均消费支出实际增速,消费量,公开发布,住户消费扣除价格因素的同比变化。,%,全国住户调查居民,季度累计、年度,比率,比率,实际,累计,A_S04,二消费、表1括号实际增速,附注明确按季发布；31省近2000县抽取16万户的住户调查。,季度累计、年度,季度不含自产自用、年度包含；不能把年度减前三季度视为严格同口径第四季度。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,D；K,K2；K3；D3,核对名义增长是否对应实际消费扩张。,名义支出；居民收入,不可用全国CPI粗略处理城乡分组后冒充官方值。,EG-住户调查,全国：已覆盖（全国住户调查居民）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：已覆盖（全国居民；城镇居民；农村居民）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html
A018,居民人均分消费类别支出,消费结构,公开发布,按八大用途分类的住户人均消费支出。,元/人,全国住户调查居民,季度累计、年度,期间,流量,名义,累计,A_S04,二消费、表1消费类别,附注明确按季发布；31省近2000县抽取16万户的住户调查。,季度累计、年度,季度不含自产自用、年度包含；不能把年度减前三季度视为严格同口径第四季度。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,D；K,K2；K3；D3,检查家庭开支的结构变化。,各类别价格；居民收入,类别增长可能含价格效应；类别不能当收入阶层。,EG-住户调查,全国：已覆盖（全国住户调查居民）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：部分覆盖（全国；城镇；农村）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html
A019,居民服务性消费支出占人均消费支出比重,消费结构,公开发布,居民服务性消费在人均总消费中的公开占比。,%,全国住户调查居民,年度（其他期须单独核验）,比率,比率,名义,全年,A_S07,九居民收入消费末句,正文及附表为月度国民经济发布；可与A_S08的2023年12月同名项目定位对照。,月度、季度、年度混合,季度不含自产自用、年度包含；不能把年度减前三季度视为严格同口径第四季度。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,D；K,K2；K3；D3,观察住户消费商品/服务结构。,总消费；服务价格,不同于供给方服务零售额；占比变化非服务量变化。,EG-住户调查,全国：已覆盖（全国住户调查居民）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962330.html
A020,社会消费品零售总额,销售,公开发布,面向个人和社会集团非生产经营用途的实物商品销售加餐饮收入。,亿元,商品零售和餐饮法人、产业活动单位、个体户,月度（1—2月合并）、年度,期间,流量,名义,当期,A_S05,主要数据表总计、附注1—4,表含当月和累计；附注5给13个月季调环比并说明修订；附注6标记五经普后可比增速。,月度当期和累计,五经普修订、限上企业及平台范围变化，官方同比按可比口径；季调历史滚动修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K1；K2,高频商品和餐饮交易需求信号。,住户消费；服务零售；GDP最终消费,不是全部居民消费；不含多数服务；当月与累计分别存储。,EG-A_S05,全国：已覆盖（商品零售和餐饮法人、产业活动单位、个体户）；省级：部分覆盖（北京）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：已覆盖（限额以上；限额以下）；居民群体：已覆盖（按经营地：城镇；按经营地：乡村）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260119_1962323.html
A021,商品零售额,销售结构,公开发布,社零中的商品部分。,亿元,商品零售统计单位,月度（1—2月合并）、年度,期间,流量,名义,当期,A_S05,主要数据表商品零售行,表含当月和累计；附注5给13个月季调环比并说明修订；附注6标记五经普后可比增速。,月度当期和累计,五经普修订、限上企业及平台范围变化，官方同比按可比口径；季调历史滚动修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K2,区分商品和餐饮需求。,价格；餐饮；住户消费,限上商品类别不能当全口径同类总量。,EG-A_S05,全国：已覆盖（商品零售统计单位）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（粮油食品；饮料；烟酒；服装鞋帽针纺织；化妆品；金银珠宝；日用品；体育娱乐用品；家电音像；中西药；文化办公；家具；通讯器材；石油制品；汽车；建筑装潢材料）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260119_1962323.html
A022,餐饮收入,销售结构,公开发布,统计单位提供餐饮服务取得的收入。,亿元,提供餐饮服务的统计单位,月度（1—2月合并）、年度,期间,流量,名义,当期,A_S05,主要数据表餐饮收入行,表含当月和累计；附注5给13个月季调环比并说明修订；附注6标记五经普后可比增速。,月度当期和累计,五经普修订、限上企业及平台范围变化，官方同比按可比口径；季调历史滚动修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K2,观察接触性服务消费。,食品价格；住户消费；餐饮增加值,已计入社零；与服务零售也有交叉，不能简单相加。,EG-A_S05,全国：已覆盖（提供餐饮服务的统计单位）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：已覆盖（限额以上；限额以下）；居民群体：已覆盖（按经营地：城镇；按经营地：乡村）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260119_1962323.html
A023,网上商品零售额（原实物商品网上零售额）,销售渠道,公开发布,通过公共网络平台实现的实物商品零售额；2026年仅改名称。,亿元,纳入网上零售统计的平台,月度累计、年度,期间,流量,名义,累计,A_S20,正文网上商品行；附注6；历史A_S05,2026年1—2月新表及修订说明已读，延续月度发布；总额新口径不反推旧值。,月度（1—2月合并）、累计,五经普修订、限上企业及平台范围变化，官方同比按可比口径；季调历史滚动修订。 2026年名称改变，商品项内涵与范围不变。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K2,观察线上商品渠道规模。,社零；平台范围；线上服务,已计社零；不能和社零相加；2026总额扩围不可误归给此商品项。,EG-A_S20,全国：已覆盖（纳入网上零售统计的平台）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：已覆盖（吃类；穿类；用类）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202603/t20260316_1962786.html
A024,服务零售额同比增速,销售,公开发布,服务提供方出售给个人和单位非生产经营用途服务的同比增速。,%,服务零售企业、产业活动单位和个体户,月度累计、年度,比率,比率,名义,累计,A_S07,四消费；定义A_S03注41及A_S08附注6,A_S08核验2023全年增速，A_S07核验2025全年增速；月度累计发布。,月度、季度、年度混合,本轮未核验额外断点；不表示历史从无修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K1；K2,补充社零对多数服务消费覆盖不足。,住户服务消费；服务价格,本源仅公开增速，不能填造服务零售绝对额；与餐饮有交叉。,EG-A_S07,全国：已覆盖（服务零售企业、产业活动单位和个体户）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（交通；住宿；餐饮；教育；卫生；体育；娱乐）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962330.html
A025,全国城镇调查失业率,劳动需求,公开发布,抽样调查失业人口占城镇就业和失业人口合计比重。,%,全国城镇劳动力，含符合定义的在校生,月度、年度平均,比率,比率,不适用,当期,A_S07,八就业；方法A_S10、A_S11,正文及附表为月度国民经济发布；可与A_S08的2023年12月同名项目定位对照。,月度、季度、年度混合,2023年分年龄停发/2024剔学生调整不等于总体率排除学生；总体口径差异见A_S11。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,G；K,K3；G1,识别进入劳动力市场者的失业状况。,就业人数；工时；工资；劳动参与,分母不是总人口；下降可能伴随劳动参与变化；31大城市率是合计。,EG-劳动力调查,全国：已覆盖（全国城镇劳动力，含符合定义的在校生）；省级：部分覆盖（北京）；地级：部分覆盖（31个大城市合计）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：已覆盖（本地户籍；外来户籍；外来农业户籍）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962330.html
A026,不含在校生分年龄组城镇调查失业率,青年与核心年龄,公开发布,按指定年龄组、排除在校生后的失业人口/相应劳动力。,%,全国城镇16—24、25—29、30—59岁非在校劳动力,月度,比率,比率,不适用,当期,A_S08,八就业首批原值；A_S09末段发布方式,为新年龄口径的起始公开月份提供原值证据；发布日与报告月相区分。,月度发布,2023年8月发布会宣布暂停分年龄数据（报告值2023年7—11月缺口）；2024年1月发布2023年12月新口径首值；新增25—29组，原25—59组不可等同30—59组。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,G；K,K1；K3；G1,检查年龄结构差异。,总体率；劳动参与；毕业季；工时,不能同旧16—24岁含学生序列直接拼接；不能拿年龄人口乘率推失业人数。,EG-劳动力调查,全国：已覆盖（全国城镇16—24、25—29、30—59岁非在校劳动力）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：已覆盖（16—24岁不含在校生；25—29岁不含在校生；30—59岁不含在校生）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202401/t20240117_1946624.html
A027,全国企业就业人员周平均工作时间,劳动强度,公开发布,企业就业人员在调查参考周的平均工作小时。,小时/周,全国企业就业人员,月度,比率,比率,不适用,当期,A_S07,八就业；A_S08八就业历史对应项,2023年12月A_S08和2025年12月A_S07同名发布均已读。,月度、季度、年度混合,本轮未核验额外断点；不表示历史从无修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,D；G；K,K3；G1；G3；D2,辅助判断劳动强度。,失业率；就业人数；工资,不代表全体就业人员工时，不是小时生产率；没有工时分布无法判断低工时比例。,EG-劳动力调查,全国：已覆盖（全国企业就业人员）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962330.html
A028,全国就业人员年末人数,劳动投入,公开发布,年末符合就业定义的就业人员公开总量。,万人,全国就业人员,年度,时点,存量,不适用,年末,A_S03,一综合就业段,年度公报；图示近年变化，本轮不从图片补造未读数值。,年度,本轮未核验额外断点；不表示历史从无修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,D；G；I；K,K3；G1；G3；I4；D2,劳动投入人数规模。,实际GDP；劳动参与；工时,不能替代全年平均就业，更不能视为岗位数或工时。,EG-A_S03,全国：已覆盖（全国就业人员）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：已覆盖（全国就业；城镇就业）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
A029,城镇新增就业人数,新增就业,公开发布,报告期城镇累计新就业人员扣除自然减员。,万人,城镇就业行政统计范围,年度（高频另核人社发布）,期间,流量,不适用,全年,A_S03,一综合；注7,年度公报；图示近年变化，本轮不从图片补造未读数值。,年度,本轮未核验额外断点；不表示历史从无修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,G；K,K3；G1,行政统计的就业增量信号。,调查失业率；就业总量,不等于全国就业人数同比差额；不能与失业率直接互算。,EG-A_S03,全国：已覆盖（城镇就业行政统计范围）；省级：部分覆盖（北京）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
