映射编号,问题编号,指标编号,指标名称,本指标观察含义,本问题机制,支持证据组合,反向证据组合,替代解释,本问题边界,共享证据组,来源编号
MAP0017,K1,A061,服务CPI及涨跌幅,服务消费价格变化，与住户服务支出量价分离配套。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S25,A_S25
MAP0018,K1,A062,工业生产者出厂价格指数PPI及涨跌幅,工业销售价格环境，配合产量、收入和盈利分析。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S26,A_S26
MAP0019,K1,A063,工业生产者购进价格指数及涨跌幅,工业中间投入成本的价格变化。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S26,A_S26
MAP0020,K1,B001,规上工业营业收入,市场实现收入规模,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-规上工业财务,B_S01
MAP0021,K1,B003,规上工业利润总额,盈利及自筹资金能力线索,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-规上工业财务,B_S01
MAP0022,K1,B008,规上工业产成品存货,已完工库存占款,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-规上工业财务,B_S01
MAP0023,K1,B012,规上工业产成品存货周转天数,成品库存资金周转,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-规上工业财务,B_S01
MAP0024,K1,E001,规上工业增加值实际增长,衡量工业产出变化，与利用率和利润共同验证需求传导。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-E_S01,E_S01
MAP0025,K1,E002,规上工业产品销售率,观察生产与销售衔接，需联合库存和回款。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-E_S01,E_S01
MAP0026,K1,E003,规上工业出口交货值,从工业企业交货端观察外需相关名义活动。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-E_S01,E_S01
MAP0027,K1,E004,规上工业主要产品产量（产品家族）,用实物量检验名义收入与价格变化，观察产品结构。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-E_S01,E_S01
MAP0028,K1,E005,规上工业产能利用率,验证产出增长是否伴随产能使用改善。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-E_S02,E_S02
MAP0029,K1,E006,服务业生产指数实际增长,跟踪月度服务业市场产出。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-E_S04,E_S04
MAP0030,K2,A001,国内生产总值现价总量,名义产出及收入流量的总尺度。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-国民核算,A_S01
MAP0031,K2,A002,国内生产总值实际增长（同比/季调环比）,观察实际产出变化。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-国民核算,A_S01
MAP0032,K2,A006,最终消费支出对GDP增长的拉动,拆解实际GDP增长的需求来源。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-国民核算,A_S03
MAP0033,K2,A007,资本形成总额对GDP增长的拉动,拆解实际GDP增长的需求来源。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-国民核算,A_S03
MAP0034,K2,A008,货物和服务净出口对GDP增长的拉动,拆解实际GDP增长的需求来源。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-国民核算,A_S03
MAP0035,K2,A014,居民人均可支配收入,观察家庭消费预算基础。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-住户调查,A_S04
MAP0036,K2,A015,居民人均可支配收入实际增速,检验购买力变化。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-住户调查,A_S04
MAP0037,K2,A016,居民人均消费支出,需求端住户消费水平。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-住户调查,A_S04
MAP0038,K2,A017,居民人均消费支出实际增速,核对名义增长是否对应实际消费扩张。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-住户调查,A_S04
MAP0039,K2,A018,居民人均分消费类别支出,检查家庭开支的结构变化。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-住户调查,A_S04
MAP0040,K2,A019,居民服务性消费支出占人均消费支出比重,观察住户消费商品/服务结构。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-住户调查,A_S07
MAP0041,K2,A020,社会消费品零售总额,高频商品和餐饮交易需求信号。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-A_S05,A_S05
MAP0042,K2,A021,商品零售额,区分商品和餐饮需求。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-A_S05,A_S05
MAP0043,K2,A022,餐饮收入,观察接触性服务消费。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-A_S05,A_S05
MAP0044,K2,A023,网上商品零售额（原实物商品网上零售额）,观察线上商品渠道规模。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-A_S20,A_S20
MAP0045,K2,A024,服务零售额同比增速,补充社零对多数服务消费覆盖不足。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-A_S07,A_S07
MAP0046,K2,A056,住户调查消费支出与可支配收入之比,描述住户调查支出相对收入的比例。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-住户调查,A_S04
MAP0047,K2,A057,网上服务零售额,观察线上服务渠道。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-A_S20,A_S20
MAP0048,K2,A058,网上商品和服务零售额（2026口径）,线上商品与服务合计规模。,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-A_S20,A_S20
MAP0049,K2,B015,固定资产投资（不含农户）,观察投资建设投入,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-B_S02,B_S02
MAP0050,K2,B017,房地产开发投资,开发建设投入,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-B_S03,B_S03
MAP0051,K2,B051,海关口径货物出口额,境外市场销售需求,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-B_S19,B_S19
MAP0052,K2,B052,海关口径货物进口额,国内进口需求和投入供给,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-B_S19,B_S19
MAP0053,K2,B054,国际收支货物差额,货物交易净流入,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-B_S15,B_S15
MAP0054,K2,B055,国际收支服务差额,服务贸易净需求,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,EG-B_S15,B_S15
MAP0055,K3,A014,居民人均可支配收入,观察家庭消费预算基础。,广泛需求改善应逐步传导至劳动需求、居民收入及价格，但存在时滞和行业差异。,就业数量或工时、实际收入与服务价格等多个环节同向改善。,工业产出回升但工资、就业和居民消费未改善。,劳动供给变化、产业替代、成本冲击和调查样本变化。,就业人口与城镇调查失业率的统计范围不同，不能直接相减求失业人数。,EG-住户调查,A_S04
MAP0056,K3,A015,居民人均可支配收入实际增速,检验购买力变化。,广泛需求改善应逐步传导至劳动需求、居民收入及价格，但存在时滞和行业差异。,就业数量或工时、实际收入与服务价格等多个环节同向改善。,工业产出回升但工资、就业和居民消费未改善。,劳动供给变化、产业替代、成本冲击和调查样本变化。,就业人口与城镇调查失业率的统计范围不同，不能直接相减求失业人数。,EG-住户调查,A_S04
MAP0057,K3,A016,居民人均消费支出,需求端住户消费水平。,广泛需求改善应逐步传导至劳动需求、居民收入及价格，但存在时滞和行业差异。,就业数量或工时、实际收入与服务价格等多个环节同向改善。,工业产出回升但工资、就业和居民消费未改善。,劳动供给变化、产业替代、成本冲击和调查样本变化。,就业人口与城镇调查失业率的统计范围不同，不能直接相减求失业人数。,EG-住户调查,A_S04
MAP0058,K3,A017,居民人均消费支出实际增速,核对名义增长是否对应实际消费扩张。,广泛需求改善应逐步传导至劳动需求、居民收入及价格，但存在时滞和行业差异。,就业数量或工时、实际收入与服务价格等多个环节同向改善。,工业产出回升但工资、就业和居民消费未改善。,劳动供给变化、产业替代、成本冲击和调查样本变化。,就业人口与城镇调查失业率的统计范围不同，不能直接相减求失业人数。,EG-住户调查,A_S04
MAP0059,K3,A018,居民人均分消费类别支出,检查家庭开支的结构变化。,广泛需求改善应逐步传导至劳动需求、居民收入及价格，但存在时滞和行业差异。,就业数量或工时、实际收入与服务价格等多个环节同向改善。,工业产出回升但工资、就业和居民消费未改善。,劳动供给变化、产业替代、成本冲击和调查样本变化。,就业人口与城镇调查失业率的统计范围不同，不能直接相减求失业人数。,EG-住户调查,A_S04
MAP0060,K3,A019,居民服务性消费支出占人均消费支出比重,观察住户消费商品/服务结构。,广泛需求改善应逐步传导至劳动需求、居民收入及价格，但存在时滞和行业差异。,就业数量或工时、实际收入与服务价格等多个环节同向改善。,工业产出回升但工资、就业和居民消费未改善。,劳动供给变化、产业替代、成本冲击和调查样本变化。,就业人口与城镇调查失业率的统计范围不同，不能直接相减求失业人数。,EG-住户调查,A_S07
MAP0061,K3,A025,全国城镇调查失业率,识别进入劳动力市场者的失业状况。,广泛需求改善应逐步传导至劳动需求、居民收入及价格，但存在时滞和行业差异。,就业数量或工时、实际收入与服务价格等多个环节同向改善。,工业产出回升但工资、就业和居民消费未改善。,劳动供给变化、产业替代、成本冲击和调查样本变化。,就业人口与城镇调查失业率的统计范围不同，不能直接相减求失业人数。,EG-劳动力调查,A_S07
MAP0062,K3,A026,不含在校生分年龄组城镇调查失业率,检查年龄结构差异。,广泛需求改善应逐步传导至劳动需求、居民收入及价格，但存在时滞和行业差异。,就业数量或工时、实际收入与服务价格等多个环节同向改善。,工业产出回升但工资、就业和居民消费未改善。,劳动供给变化、产业替代、成本冲击和调查样本变化。,就业人口与城镇调查失业率的统计范围不同，不能直接相减求失业人数。,EG-劳动力调查,A_S08
MAP0063,K3,A027,全国企业就业人员周平均工作时间,辅助判断劳动强度。,广泛需求改善应逐步传导至劳动需求、居民收入及价格，但存在时滞和行业差异。,就业数量或工时、实际收入与服务价格等多个环节同向改善。,工业产出回升但工资、就业和居民消费未改善。,劳动供给变化、产业替代、成本冲击和调查样本变化。,就业人口与城镇调查失业率的统计范围不同，不能直接相减求失业人数。,EG-劳动力调查,A_S07
MAP0064,K3,A028,全国就业人员年末人数,劳动投入人数规模。,广泛需求改善应逐步传导至劳动需求、居民收入及价格，但存在时滞和行业差异。,就业数量或工时、实际收入与服务价格等多个环节同向改善。,工业产出回升但工资、就业和居民消费未改善。,劳动供给变化、产业替代、成本冲击和调查样本变化。,就业人口与城镇调查失业率的统计范围不同，不能直接相减求失业人数。,EG-A_S03,A_S03
MAP0065,K3,A029,城镇新增就业人数,行政统计的就业增量信号。,广泛需求改善应逐步传导至劳动需求、居民收入及价格，但存在时滞和行业差异。,就业数量或工时、实际收入与服务价格等多个环节同向改善。,工业产出回升但工资、就业和居民消费未改善。,劳动供给变化、产业替代、成本冲击和调查样本变化。,就业人口与城镇调查失业率的统计范围不同，不能直接相减求失业人数。,EG-A_S03,A_S03
