规则编号,适用问题,规则/判断对象,支持条件/执行方法,反向证据,不可推断的边界,替代解释,后续判别
J-F3,F3,资产价格如何影响偿债与融资？,房价与成交、开发资金、土地收入和相关融资相互印证。,价格下降但成交回升、回款改善或现金缓冲充足。,成交均价受结构影响，不能等同于同质住房价格指数或抵押品价值。,住房结构变化、以价换量、土地供给节奏和项目交付。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-F4,F4,风险如何跨部门传递？,债务/回款变化与相关财政或银行指标在匹配范围内同向变化。,银行指标改善由核销或分母扩张造成，或全国数据掩盖局部风险。,银行不良率下降不单独证明风险消失；无地域匹配数据不下城市银行结论。,风险处置、会计确认时滞、监管口径及机构样本变化。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-G1,G1,劳动力数量和质量如何变化？,劳动年龄人口、就业、教育与技能指标给出一致或分化的结构趋势。,人口下降但参与率、工时或人力资本改善抵消部分影响。,在校生规模不是现有劳动力技能水平；不同年龄区间不得拼接。,退休制度、迁移、教育扩张和调查口径差异。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-G2,G2,投资与产出是否协调？,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,建设期滞后、公共品收益、产业周期和价格变化。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-G3,G3,劳动生产率是否改善？,同版本劳动生产率持续改善，并区分就业、产出与产业结构贡献线索。,改善来自就业分母缩减，或名义价格上涨而非实物效率。,劳动生产率不等同TFP，不用名义GDP/就业冒充实际劳动生产率。,资本深化、工时、行业构成和就业统计修订。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-G4,G4,行业和地区有哪些效率差异？,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,产业结构、公共服务与自然条件不同。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-I1,I1,创新投入是否形成成果？,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,不以当年研发除以当年授权专利简单衡量研发效率。,申请策略、补贴激励、研发周期和分类变化。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-I2,I2,成果是否进入生产和市场？,技术交易、新产品或高技术活动与应用端产出相互印证。,合同额增长但履约、销售或扩散证据不足。,技术合同成交额不等于当年研发成果收入，也不是已实现现金流。,合同口径、关联交易、进口设备及市场周期。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-I3,I3,新产业是否形成收入与回报？,新产业增加值/收入增长，相关利润和利用率提供补充。,产量或销售扩张伴随降价、亏损或库存积压。,公开行业总体利润不能归因到全部创新企业，不以规模增长证明投资回报。,新进入企业前期投入、补贴、产品价格和统计范围。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-I4,I4,新旧更替是否改善就业与效率？,新旧行业活动与就业/工资、生产率变化相互对应。,新产业增加但就业承接弱，旧产业退出或人员转岗证据不足。,缺少企业连续追踪时不测算净创造性破坏贡献。,企业注册与实际经营不同、外包、统计单位升降规。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-S1,S1,产业结构是否适应当地要素条件？,产业结构与技能/人口、能源、投资和市场数据可相互解释。,产能扩张与当地要素供给、销售和收入表现持续背离。,不能仅凭产业占比指定某地应当发展或退出某个产业。,跨区要素流动、总部经济、资源禀赋及产业链分工。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-S2,S2,基础设施和公共服务有什么约束？,设施数量与实际使用、运输活动和公共服务指标联合呈现。,供给增加但利用不高，或总体充足仍有局部拥堵与短缺。,里程、装机和财政支出是供给或投入，不能直接等同服务效率。,规模效应、人口密度、地理条件和利用口径。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-S3,S3,升级是否形成配套与市场？,投入产出联系、工业分项和进出口结构提供匹配证据。,高技术占比上升但配套、订单或盈利证据弱。,技术产业分类与行业门类有重叠，不得相加为经济总量。,价格、加工贸易、外需周期、再出口和分类重叠。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-S4,S4,扩张是否伴随利用率和回报改善？,相关投资、产能利用、销售和利润在合理项目期内同步改善。,投资持续上升而利用率、价格或利润承压。,基建社会收益与企业财务收益不同，不能用工业利润率评价全部公共项目。,学习期、公共品外部收益、替代旧产能和周期冲击。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-D1,D1,资本积累与利润实现是否协调？,积累扩张同时有收入、利润和库存周转支撑。,生产及投资增长而利润、回款和需求不足。,工业利润率不是马克思理论的一般利润率，不能跨口径套算。,价格周期、会计变化、公共投资以及产业阶段差异。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-D2,D2,劳动收入是否分享生产率改善？,同范围实际工资/劳动报酬和劳动生产率在可比期间共同改善。,平均工资上涨但中位收入较弱，或就业覆盖收缩。,不能用城镇单位工资对全国劳动生产率直接推断劳动报酬份额变化。,行业组成、自雇混合收入、税费与社保、就业单位样本。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-D3,D3,分配如何影响消费能力？,收入分组、城乡差异、消费和保障证据共同支持受益面判断。,收入分布变化却没有匹配群体消费数据。,无分组消费资料时不估算各收入组边际消费倾向；收入五等份不是财富五等份。,生命周期、家庭规模、住房负担、资产与收入不同。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-D4,D4,生产、消费和再投资有哪些张力？,以资金流量账户连接部门分配、储蓄、投资与净金融投资。,现象依赖错误加总、表间版本不一或将存款增加当作储蓄。,部门余额关系是核算联系，不是因果关系；统计差额保留，不强制配平。,对外收支、资本转移、其他非金融资产和统计差异。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
