记录类型,记录编号,问题编号,指标编号,维度编号,维度/层级,覆盖状态,已核验成员/分类,来源编号,覆盖依据,限制/版本,核验性质
维度目录,DIM-FIRM-05,,,DIM-FIRM-05,企业类型成员,目录成员,规上工业,B_S01,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-FIRM-06,,,DIM-FIRM-06,企业类型成员,目录成员,城镇非私营单位,,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-FIRM-07,,,DIM-FIRM-07,企业类型成员,目录成员,城镇私营单位,,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-SEC-01,,,DIM-SEC-01,机构部门成员,目录成员,住户,R_FOF,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-SEC-02,,,DIM-SEC-02,机构部门成员,目录成员,非金融企业,R_FOF,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-SEC-03,,,DIM-SEC-03,机构部门成员,目录成员,金融机构,R_FOF,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-SEC-04,,,DIM-SEC-04,机构部门成员,目录成员,广义政府,R_FOF,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-SEC-05,,,DIM-SEC-05,机构部门成员,目录成员,国外,R_FOF,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
覆盖检查,CV00001,K2,A001,DIM-NAT,全国,已覆盖,全国经济领土常住单位，不含港澳台,A_S01,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00002,M1,A001,DIM-NAT,全国,已覆盖,全国经济领土常住单位，不含港澳台,A_S01,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00003,K2,A001,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,R_REGION_GDP,表3-9地区GDP金额，2024年,年度口径；不表示省级季度及各居民群体交叉全覆盖。空白以原表为准。,已读原表/定义；仅所列范围
覆盖检查,CV00004,M1,A001,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,R_REGION_GDP,表3-9地区GDP金额，2024年,年度口径；不表示省级季度及各居民群体交叉全覆盖。空白以原表为准。,已读原表/定义；仅所列范围
覆盖检查,CV00005,K2,A001,DIM-PREF,地级,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00006,M1,A001,DIM-PREF,地级,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00007,K2,A001,DIM-IND,行业,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00008,M1,A001,DIM-IND,行业,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00009,K2,A001,DIM-FIRM,企业类型,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00010,M1,A001,DIM-FIRM,企业类型,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00011,K2,A001,DIM-HH,居民群体,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00012,M1,A001,DIM-HH,居民群体,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00013,K2,A001,DIM-SEC,机构部门,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00014,M1,A001,DIM-SEC,机构部门,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00015,K2,A002,DIM-NAT,全国,已覆盖,全国经济领土常住单位，不含港澳台,A_S01,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00016,M1,A002,DIM-NAT,全国,已覆盖,全国经济领土常住单位，不含港澳台,A_S01,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00017,G3,A002,DIM-NAT,全国,已覆盖,全国经济领土常住单位，不含港澳台,A_S01,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00018,K2,A002,DIM-PROV,省级,部分覆盖,北京,A_S18,一综合GDP实际增长,仅2023年北京原文样本；未验证其余30省和逐月序列。,已读原表/定义；仅所列范围
覆盖检查,CV00019,M1,A002,DIM-PROV,省级,部分覆盖,北京,A_S18,一综合GDP实际增长,仅2023年北京原文样本；未验证其余30省和逐月序列。,已读原表/定义；仅所列范围
覆盖检查,CV00020,G3,A002,DIM-PROV,省级,部分覆盖,北京,A_S18,一综合GDP实际增长,仅2023年北京原文样本；未验证其余30省和逐月序列。,已读原表/定义；仅所列范围
覆盖检查,CV00021,K2,A002,DIM-PREF,地级,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00022,M1,A002,DIM-PREF,地级,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00023,G3,A002,DIM-PREF,地级,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00024,K2,A002,DIM-IND,行业,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00025,M1,A002,DIM-IND,行业,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00026,G3,A002,DIM-IND,行业,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00027,K2,A002,DIM-FIRM,企业类型,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00028,M1,A002,DIM-FIRM,企业类型,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00029,G3,A002,DIM-FIRM,企业类型,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00030,K2,A002,DIM-HH,居民群体,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00031,M1,A002,DIM-HH,居民群体,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00032,G3,A002,DIM-HH,居民群体,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00033,K2,A002,DIM-SEC,机构部门,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00034,M1,A002,DIM-SEC,机构部门,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00035,G3,A002,DIM-SEC,机构部门,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00036,G2,A004,DIM-NAT,全国,已覆盖,全国各常住生产单位,A_S01,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00037,G3,A004,DIM-NAT,全国,已覆盖,全国各常住生产单位,A_S01,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00038,G4,A004,DIM-NAT,全国,已覆盖,全国各常住生产单位,A_S01,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00039,S1,A004,DIM-NAT,全国,已覆盖,全国各常住生产单位,A_S01,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00040,S3,A004,DIM-NAT,全国,已覆盖,全国各常住生产单位,A_S01,本源正文或表格明确全国统计结果。,,已读原表/定义；仅所列范围
覆盖检查,CV00041,G2,A004,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,R_REGION_GDP,表3-9三次产业与主要行业增加值，2024年,年度口径；不表示省级季度及各居民群体交叉全覆盖。空白以原表为准。,已读原表/定义；仅所列范围
覆盖检查,CV00042,G3,A004,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,R_REGION_GDP,表3-9三次产业与主要行业增加值，2024年,年度口径；不表示省级季度及各居民群体交叉全覆盖。空白以原表为准。,已读原表/定义；仅所列范围
覆盖检查,CV00043,G4,A004,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,R_REGION_GDP,表3-9三次产业与主要行业增加值，2024年,年度口径；不表示省级季度及各居民群体交叉全覆盖。空白以原表为准。,已读原表/定义；仅所列范围
覆盖检查,CV00044,S1,A004,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,R_REGION_GDP,表3-9三次产业与主要行业增加值，2024年,年度口径；不表示省级季度及各居民群体交叉全覆盖。空白以原表为准。,已读原表/定义；仅所列范围
覆盖检查,CV00045,S3,A004,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,R_REGION_GDP,表3-9三次产业与主要行业增加值，2024年,年度口径；不表示省级季度及各居民群体交叉全覆盖。空白以原表为准。,已读原表/定义；仅所列范围
覆盖检查,CV00046,G2,A004,DIM-PREF,地级,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00047,G3,A004,DIM-PREF,地级,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00048,G4,A004,DIM-PREF,地级,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV00049,S1,A004,DIM-PREF,地级,无稳定公开数据,,A_S01,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
