来源编号,发布主体,标题,公开原文链接,定义入口,发布日,读取日,报告期,发布节奏,表/节/脚注位置,已读定义依据,历史/制度证据,范围依据,限制
A_S11,国家统计局人口和就业统计司,在校学生是否纳入调查失业率：咨询公开,https://www.stats.gov.cn/hd/lyzx/zxgk/202406/t20240619_1955075.html,https://www.stats.gov.cn/hd/lyzx/zxgk/202406/t20240619_1955075.html,2024-05-08,2026-09-15,口径答复,制度说明,答复内容、答复日期,总体城镇失业率仍含符合就业或失业定义的在校生；新分年龄组率不含。,为2024调整后总体和分组口径差异提供官方明确答复。,总体城镇劳动力、在校/非在校。,网页路径为6月，答复日期为5月8日；不可把分组调整外推为总体排除全部学生。
A_S12,中国人民银行,中国人民银行公告〔2024〕第17号（文告）,https://www.pbc.gov.cn/chubanwu/fileDir/resource/cms/2025/06/2025062416082199683.pdf,https://www.pbc.gov.cn/chubanwu/fileDir/resource/cms/2025/06/2025062416082199683.pdf,2024-12-01,2026-09-15,M1自2025年1月起,口径公告,PDF第9页/印刷页7,新M1含M0、单位活期、个人活期及非银行支付机构客户备付金。,明确生效统计月份为2025年1月；月报A_S14说明2024逐月可比回溯。,全国货币统计。,发布公告时间、文件上传时间与生效报告月不同；不可比较旧M1余额和新M1余额。
A_S13,中国人民银行,狭义货币和广义货币,https://www.pbc.gov.cn/rmyh/109339/2025080818580470423/index.html,https://www.pbc.gov.cn/rmyh/109339/2025080818580470423/index.html,2025-03-10,2026-09-15,修订后定义,术语说明,术语表正文,当前M1含单位及个人活期与客户备付金；M2在M1外还含定期等存款。,术语页与公告A_S12、月报A_S14相互核对。,全国货币持有部门。,M1/M2是金融资产存量，不能直接读作当期支出。
A_S14,中国人民银行；中国政府网托管,2025年8月金融统计数据报告（国务院客户端转载央行原文）,https://app.www.gov.cn/govdata/gov/202509/12/536583/article.html,https://app.www.gov.cn/govdata/gov/202509/12/536583/article.html,2025-09-12,2026-09-15,2025年8月末、1—8月,月度,一货币、二贷款、三存款、四利率；注1—4,明确余额与累计新增；企事业贷款包含非金融企业和机关团体；2023年金融统计增纳三类非存款机构；M1新口径含2024回溯说明。,月报结构及2024各月可比M1表的存在已经核验，回溯表为图片，本轮不抄未辨读数值。,全国；住户短/中长期，企事业短/中长期和票据，非银；存款部门。,官方转载原文而非央行原站地址；数据初步；不得把存量差无条件等同累计新增。
A_S15,中国人民银行,2025年8月社会融资规模增量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/523c260b344c4f1390664430295064a9/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/523c260b344c4f1390664430295064a9/index.html,2025-09-12,2026-09-15,2025年1—8月,月度累计,正文、注1—2,增量衡量期间实体经济从金融体系获得资金；不同分项含贷款新增、债券净融资等。,月度栏目已访问；报告有同比同期间对照；A_S17另核验全年表。,全国；人民币/外币贷款、委托信托、未贴现票据、企业债政府债、境内股票。,2023年统计扩围；政府债已在社融，不得另加；社融含非债务及核销，非债务余额概念。
A_S16,中国人民银行；中国政府网托管,2025年8月社会融资规模存量统计数据报告（国务院客户端转载）,https://app.www.gov.cn/govdata/gov/202509/12/536584/article.html,https://app.www.gov.cn/govdata/gov/202509/12/536584/article.html,2025-09-12,2026-09-15,2025年8月末,月度,正文两段、注1—2,期末实体经济从金融体系获得资金余额；公开各分项及结构占比。,与A_S15同时发布的独立存量报告；A_S17含年末存量表。,全国；各融资工具、政府与非金融企业境内股票。,不等于全社会债务；核销和口径变动使增量与存量差不必相等。
A_S17,中国人民银行货币政策分析小组；商务部托管,2025年第四季度中国货币政策执行报告（商务部托管央行原文PDF）,https://cif.mofcom.gov.cn/cif/html/upload/20260211143114167_2025%E5%B9%B4%E7%AC%AC%E5%9B%9B%E5%AD%A3%E5%BA%A6%E4%B8%AD%E5%9B%BD%E8%B4%A7%E5%B8%81%E6%94%BF%E7%AD%96%E6%89%A7%E8%A1%8C%E6%8A%A5%E5%91%8A.pdf,https://cif.mofcom.gov.cn/cif/html/upload/20260211143114167_2025%E5%B9%B4%E7%AC%AC%E5%9B%9B%E5%AD%A3%E5%BA%A6%E4%B8%AD%E5%9B%BD%E8%B4%A7%E5%B8%81%E6%94%BF%E7%AD%96%E6%89%A7%E8%A1%8C%E6%8A%A5%E5%91%8A.pdf,2026-02-10,2026-09-15,2025年全年、12月或年末依表,季度报告，部分月度观测,印刷页3—7表1—7；页9公开市场；页25货币市场,表3为12月新发放贷款加权利率；表6为年末贷款及全年新增；表7分别列社融存量和增量，含核销；公开市场7天逆回购为政策利率。,表4—5列2025年逐月数据，表3有上季末/上年末比较；执行报告定期发布。,全国；贷款/存款部门、机构类型；贷款产品、融资工具。,托管副本为原文PDF；正文四舍五入数与表格精度不同；季度报告中的12月利率不是全年平均。
A_S18,北京市统计局、国家统计局北京调查总队,北京市2023年国民经济和社会发展统计公报,https://tjj.beijing.gov.cn/zxfbu/202403/t20240319_3594001.html,https://tjj.beijing.gov.cn/zxfbu/202403/t20240319_3594001.html,2024-03-21,2026-09-15,2023年全年及年末,年度,一综合、五金融、七消费、十人民生活,北京原文公开GDP、平均失业率、社零、人民币存贷款及城乡居民收支；按对应段落实体范围解读。,图题显示2019—2023年GDP/社零/收入；本轮未抄图片序列。,北京一个省级样本；GDP43760.7亿元、社零14462.7亿元、人民币贷款10.9万亿元等。,单省样本不能证明31省可得；北京直辖市不能冒充地级覆盖；2023经济数据后续可能修订。
A_S19,国家统计局,国家统计局新闻发言人就2023年7月份国民经济运行情况答记者问,https://www.stats.gov.cn/sj/sjjd/202308/t20230815_1942020.html,https://www.stats.gov.cn/sj/sjjd/202308/t20230815_1942020.html,2023-08-15,2026-09-15,2023年7月发布、8月宣布停发,发布制度说明,开场通报、彭博社提问及答复,8月发布会宣布暂停青年等分年龄城镇调查失业率，整体率统计不受此暂停影响。,与2024年1月恢复发布说明A_S09及2023年12月首值A_S08构成断点证据。,全国城镇分年龄失业率。,停发发生于发布日2023年8月，不能误写为2023年8月报告值仍连续存在；缺失不可填零。
A_S20,国家统计局,2026年1—2月份社会消费品零售总额增长2.8%,https://www.stats.gov.cn/sj/zxfb/202603/t20260316_1962786.html,https://www.stats.gov.cn/sj/zxfb/202603/t20260316_1962786.html,2026-03-16,2026-09-15,2026年1—2月,月度（1—2月合并）、累计,正文及附注6指标调整说明,网上总额扩大服务平台范围，新旧总额不可比；网上商品由原实物商品网上零售额改名，内涵及范围不变；新增网上服务。,2026年1—2月新表及修订说明已读，延续月度发布；总额新口径不反推旧值。,全国网上商品、网上服务及合计；吃穿用商品类。,改名与扩围两种情况必须区别；同比采用发布者可比口径；2025季调历史又修订。
A_S21,中国人民银行,公开市场业务交易公告〔2025〕第154号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/5806970/index.html,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/5806970/index.html,2025-08-12,2026-09-15,2025年8月12日,操作日,公告正文及操作结果表,7天逆回购利率1.40%，当日投标量和中标量均1146亿元；固定利率、数量招标。,操作公告按实际操作日发布；A_S17提供2025年5月利率变动的政策记录。,全国央行公开市场操作。,当日操作量不是净投放；未核验完整每日历史档案。
A_S22,中国人民银行,中国人民银行有关负责人就完善贷款市场报价利率形成机制答记者问,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212550010243/index.html,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212550010243/index.html,2019-08-17,2026-09-15,2019年LPR形成机制改革,制度说明,问答关于报价方式、期限品种和首次发布时间,改革由每日报价改每月20日、节假日顺延；增加5年期以上期限；2019年8月20日首次按新机制发布。,明确LPR月度发布及2019年8月断点；可在央行或中国货币网查询。,1年期和5年期以上LPR。,页面URL为迁移路径，不是发布日期；文中报价行数量、发布时间和定价锚为2019规则，不断言其后全部未变。
A_S23,中国人民银行,货币供应量：2024年1—10月表及数字人民币统计附注,https://www.pbc.gov.cn/eportal/fileDir/diaochatongjisi/resource/cms/2024/11/2024111416041159339.htm,https://www.pbc.gov.cn/eportal/fileDir/diaochatongjisi/resource/cms/2024/11/2024111416041159339.htm,,2026-09-15,2024年1—10月及2022年修订说明,月度,货币供应量表及注1,自2022年12月M0纳入流通中数字人民币；2022年末数字人民币136.1亿元；表中M0、M1、M2单位为亿元。,实际列2024年1—10月数值，11—12月空白；附注列2022年M0修订后月度增速。,全国货币供应量。,2024年M1表为旧定义，不能作2025新口径回溯；空白不等于零；页面未显示独立发布日期。
A_S24,中国人民银行,2018年金融统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/370befa3ce2042dfbc414b74f3b397b7/index.html,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/370befa3ce2042dfbc414b74f3b397b7/index.html,2019-01-15,2026-09-15,2018年12月末及全年,月度、年度,正文一至四；注2、注4,2018年M2中货币市场基金银行存款及存单，改由非存款机构部门持有的货币市场基金替代；2015年起存贷款纳入非银金融机构相关资金。,2018年末及全年数值原文；说明2017年M2可比增速另有修订表。,全国金融机构存贷款与货币统计。,历史M2调整不能省略；2017修订表图片本轮未抄数；2015金融统计扩围不同于社融边界。
A_S25,国家统计局,2026年1月份居民消费价格同比上涨0.2%,https://www.stats.gov.cn/zwfwck/sjfb/202602/t20260211_1962588.html,https://www.stats.gov.cn/zwfwck/sjfb/202602/t20260211_1962588.html,2026-02-11,2026-09-15,2026年1月,月度,主要数据表、附注1—5,CPI为居民消费品和服务价格变化；表列总CPI、服务及扣食品能源的同比/环比；抽样调查31省约500市县近12万网点，8大类268基本类。,从2026年1月使用2025基期，每五年轮换；方法、样本、分类和权数均有更新。,全国；城市/农村；消费品/服务；食品/非食品；核心；8大类及部分细项。,同比/环比是不同对比期；未证明全部省市分项公开；价格网点原始微观价格未公开归档；不是居民购买数量。
A_S26,国家统计局,2026年1月份工业生产者出厂价格同比降幅收窄 环比涨幅扩大,https://www.stats.gov.cn/zwfwck/sjfb/202602/t20260211_1962587.html,https://www.stats.gov.cn/zwfwck/sjfb/202602/t20260211_1962587.html,2026-02-11,2026-09-15,2026年1月,月度,主要数据表一二三；附注1—6,PPI衡量工业产品第一次出售价格，购进指数衡量中间投入购入价格；重点与典型调查结合，涉及4万多工业企业；出厂41行业1300多基本类，购进9类800多基本类。,每月原值表及同比环比；2026年1月PPI开始2025基期，分类、企业、规格品、权数更新。,全国；生产/生活资料；表列主要工业行业；购进9大类。,调查覆盖41行业不等于本表给出全部41行；同比−1.4%不代表价格绝对值；基期轮换影响不能机械逐月扣0.08个百分点。
A_S27,国家统计局,2025年12月份居民消费价格同比上涨0.8%,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260109_1962273.html,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260109_1962273.html,2026-01-09,2026-09-15,2025年12月及全年,月度、年度平均,主要数据表；附注1—4,表同时列当月环比、同比及2025全年涨跌幅；总体分别0.2%、0.8%、0.0%；核心0.2%、1.2%、0.7%；服务0.0%、0.6%、0.5%。,与2026年1月新基期月报形成已核验相邻发布版本。,全国、城市/农村、服务/商品、核心、消费分类。,全年涨幅不是12月同比；旧基期分类名称与2026部分名称不同，不能忽略版本。
A_S28,国家统计局,国家统计局城市司负责人就CPI等价格指数基期轮换有关情况接受中国信息报专访,https://www.stats.gov.cn/sj/zxfbhjd/202602/t20260211_1962589.html,https://www.stats.gov.cn/sj/zxfbhjd/202602/t20260211_1962589.html,2026-02-11,2026-09-15,2025基期轮换及2026年实施,方法说明,问1—5、CPI权数表,定基权数不同于随比较期价格变化的同比/环比权数；2025全年按新规格品采价并重算比较基准；新一轮约12万网点62万规格品。,明确由2020基期转2025基期，五年轮换；总体同比平均影响CPI约0.06、PPI约0.08个百分点。,CPI八大类及部分食品基期权重，新增出行服务衍生分类。,轮换平均影响不是每个月固定调整项；公布的基期权重不能直接代替月度同比权重重算贡献；新基期回溯不能自行臆造。
A_S29,国家统计局,十四、价格统计（13）：价格数据查询及指数解释,https://www.stats.gov.cn/hd/cjwtjd/202302/t20230207_1902269.html,https://www.stats.gov.cn/hd/cjwtjd/202302/t20230207_1902269.html,2023-10-09,2026-09-15,价格统计方法说明,月度发布制度,问1、3、4、5,同比指数以上年同月为100；环比以上月为100；累计平均以上年同期均价为100；链式环比可连续相乘而非涨幅相加。,明确CPI/PPI月度新闻稿和国家数据查询途径；当时2020基期表述由A_S28更新。,全国价格指数；其他地区或小类须按实际数据库逐项验证。,不能把该旧问答的当前基期当2026口径；同比指数100.2不表示固定2025基期指数或价格绝对金额。
B_S01,国家统计局,2025年全国规模以上工业企业利润增长0.6%,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html,https://www.stats.gov.cn/sj/zxfb/202601/t20260127_1962382.html,2026-01-27,2026-09-15,2025年、2025年末,月度（1月免报）,正文、表1—3、附注一至五,附注明确利润、营业收入、成本、资产负债、应收账款、产成品及财务比率计算；调查对象年主营业务收入2000万元及以上工业法人。,原文说明按月全面调查、上年同期可比基数调整；本次核验2025全年及上年增速，不宣称已逐年下载。,全国；表1及表2有三大门类和经济类型；表3有行业收入、成本、利润。,财务存量细分未在本页正文取得；年度样本进退、统计执法、去重导致两版原值不可直接算同比；企业类型交叉。
B_S02,国家统计局,2025年全国固定资产投资基本情况,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962326.html,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962326.html,2026-01-19,2026-09-15,2025年,月度（1月免报）,主要数据表、附注1—8,统计计划总投资500万元及以上固定资产项目及全部房地产开发项目；金额表达工作量及相关费用；增速未扣除价格。,附注给出按月调查及2024年12月以来环比修订表；本次并已访问2025年1—9月发布。,全国、三次产业、部分行业、登记注册类型和四大区域；未提供31省逐省值。,FAI不是支出法资本形成；可比基数随经济普查、制度方法和执法修订；细类多数只公开增速。
B_S03,国家统计局,2025年全国房地产市场基本情况,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202601/t20260119_1962324.html,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202601/t20260119_1962324.html,2026-01-19,2026-09-15,2025年、2025年末,月度（1月除外）,正文一至三、表1—3、附注1—6,新房销售按合同面积和价款；待售仅指竣工可售租房屋；到位资金为实际用于开发的资金；施工是期间曾施工面积。,明确按月全面调查；并核验2025年1—10及1—11月发布链接，支持持续机制。,全国全部有开发经营活动的房地产法人；表1住宅、办公楼、商业营业用房；投资销售有四区域。,不含二手房成交全貌、全部存量空置、隐性停工；本轮未核验逐省及地级连续全覆盖。
B_S04,财政部国库司,2025年财政收支情况,https://bgt.mof.gov.cn/zhuantilanmu/rdwyh/czszsj/202601/t20260130_3982923.htm,https://bgt.mof.gov.cn/zhuantilanmu/rdwyh/czszsj/202601/t20260130_3982923.htm,2026-01-30,2026-09-15,2025年,月度累计、年度,一、一般公共预算；二、政府性基金预算,分一般公共预算和政府性基金预算列收支；地方本级收入与中央本级区分；土地收入列在地方基金预算内。,财政收支栏目具有月度发布序列；本页为全年执行快报，后续预算报告与决算会修订。,全国、中央、地方合计；列税收/非税、功能支出和土地收入。,执行数非决算；全国收支差额不是官方赤字；基金收入不含债务筹資等收入总量项目；未核验31省。
B_S05,财政部政府债务管理司,2025年12月地方政府债券发行和债务余额情况,https://zwgls.mof.gov.cn/tjsj/202601/t20260130_3983021.htm,https://zwgls.mof.gov.cn/tjsj/202601/t20260130_3983021.htm,2026-01-30,2026-09-15,2025年12月及全年、年末,月度,一（一）至（三）、二、脚注1—6,区分新增/再融资、一般/专项；发行按成功发行日、付息按起息日统计；余额系地方报送执行数据。,核验2025年12月及2026年6月发布搜索结果，原页提供累计与当月；持续月报机制。,全国及一般/专项；省级细分另见同页附表B_S06。,债券和债务范围有非债券形式差别；再融资不等于新增支出；余额可能受统计更新及置换影响。
B_S06,财政部政府债务管理司,附表：2025年12月地方政府债券发行和还本付息情况,https://zwgls.mof.gov.cn/tjsj/202601/P020260130707277077220.pdf,https://zwgls.mof.gov.cn/tjsj/202601/P020260130707277077220.pdf,2026-01-30,2026-09-15,2025年12月及全年,月度附件,PDF第1页附表1、第2页附表2、第3页附表3,表1当月发行、表2全年发行、表3本金和利息；一般专项、新增再融资分栏，亿元取整。,2025年12月月报固定附件结构；不由单份附件推定历史31省各期均齐全。,31个省级行政区域列示，并列大连、宁波、厦门、青岛、深圳及所在省地区行。,省与计划单列市不可重复相加；空白不能自行填零；未对每期、每行总分项勾稽作连续审计。
B_S07,财政部,关于2025年中央和地方预算执行情况与2026年中央和地方预算草案的报告,https://www.mof.gov.cn/zhengwuxinxi/caizhengxinwen/202603/t20260316_3985331.htm,https://www.mof.gov.cn/zhengwuxinxi/caizhengxinwen/202603/t20260316_3985331.htm,2026-03-16,2026-09-15,2025年执行、2026年预算,年度,一（一）一般公共预算、（二）政府性基金、年末债务说明,收支总量另含调入、结余、债务等；国债和地方一般专项债务分别披露；明确地方债含置换存量隐性债务用途。,全国两会预算报告年度机制；与1月快报和6月决算公开值交叉核对。,全国、中央和地方合计；四本预算。,2025执行数与2026预算数需严格分列；地方债余额不能代表全部隐性债务；全国债务风险不能由余额单独决定。
B_S08,财政部,国务院关于2025年中央决算的报告,https://www.mof.gov.cn/zhengwuxinxi/caizhengxinwen/202606/t20260629_3992419.htm,https://www.mof.gov.cn/zhengwuxinxi/caizhengxinwen/202606/t20260629_3992419.htm,2026-06-29,2026-09-15,2025年、年末,年度,一（一）一般公共预算决算与债务段落；一（二）基金预算,中央支出拆本级与对地方转移；公布国债、地方债余额与还本；说明执行转决算的据实结算调整。,2025中央决算对比同年执行数，明确6月最终核算阶段；年度人大常委会审查机制。,中央财政决算、全国地方债汇总；非31省财政决算全表。,中央决算报告不等于全国各预算完整决算库；地方债2025余额548231.96亿元区别3月548230.82亿元。
B_S09,国家金融监督管理总局统计与风险监测司,2025年商业银行主要监管指标情况表,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1208453&itemId=954&generaltype=0,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1208453&itemId=954&generaltype=0,2026-02-12,2026-09-15,2025年四个季度,季度,公开附件2025年商业银行主要监管指标情况表.xls，行6—51,附件列五级贷款、贷款准备、利润、资本、风险加权资产和比率；2016存贷比境内化、2019纳入邮储、2024新资本办法、LCR规模门槛均有脚注。,本附件实际含2025四季数据；年度页面滚动更新，必须保存抓取日和文件指纹。,全国商业银行汇总；机构分组见B_S10；LCR/NSFR仅资产规模2000亿元以上。,web访问正文/附件未成功解析；已用官方公开API定位并以HTTP读取原始xls，xlrd核验单元格。证据为选行提取非完整原件归档。
B_S10,国家金融监督管理总局,2025年商业银行主要指标分机构类情况表,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1208455&itemId=954&generaltype=0,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1208455&itemId=954&generaltype=0,2026-02-12,2026-09-15,2025年四个季度,季度,原始xls表头及四季度行38—51,按大型、股份制、城市、民营、农村商业及外资银行分组；外资银行资本充足率不含外国银行分行。,附件实际包含一至四季度；脚注说明2019邮储分类及2024资本断点。,六类商业银行；仅披露不良、ROA、拨备覆盖、资本充足、流动性、净利润、净息差等列。,总局网页动态加载，以公开API和原始附件读取；不能由机构分类推广为省级覆盖。
B_S11,国家金融监督管理总局；中国财务公司协会转载,2025年四季度银行业保险业主要监管指标数据情况（监管原文转载）,https://www.cnafc.org/cnafc/front/detail.action?id=75C66E07C8A740EB8AC3B9580BB8FCE1,https://www.cnafc.org/cnafc/front/detail.action?id=75C66E07C8A740EB8AC3B9580BB8FCE1,2026-02-26,2026-09-15,2025年四季度及全年,季度,三至五、脚注1—4、附件链接,商业银行法人口径；五级贷款前两类正常、后三类不良；2024资本口径变更；LCR覆盖门槛。,正文链接总局2025年度滚动统计表并报告季度比较，非单独依赖新闻摘要。,全国商业银行，部分大型/股份制和保险机构分类。,转载用于可读正文与脚注复核，正式数依B_S09—10原始附件；本页日为转载日期。
B_S12,国家金融监督管理总局；司法部规章库,商业银行资本管理办法,https://www.moj.gov.cn/pub/sfbgw/flfggz/flfggzbmgz/202409/t20240909_505612.html,https://www.moj.gov.cn/pub/sfbgw/flfggz/flfggzbmgz/202409/t20240909_505612.html,2023-10-26,2026-09-15,2024年1月1日起施行,制度变更时,第五条、第七条、第二章,资本充足率按合规资本净额/风险加权资产；核心一级资本同理；监管资本扣除及底线并非会计资产净额。,2025监管表脚注直接引用2024生效新办法，证实当期口径。,境内依法设立商业银行；资本并表与未并表范围另定。,web页面遇重定向；通过HTTP读到官方规章正文。用于指标定义，不把单一监管阈值当系统风险判断。
B_S13,原中国银保监会；商务部法规库,商业银行流动性风险管理办法,https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=64650,https://policy.mofcom.gov.cn/claw/clawContent.shtml?id=64650,2018-05-23,2026-09-15,2018年7月1日起施行,制度变更时,第三十七至四十三条、第四十七条、附件,LCR合格优质流动性资产/未来30日净现金流出；NSFR可用稳定资金/所需稳定资金；流动性比例定义另列。,商务部法规页列文号2018年第3号及实施日期；2025监管表门槛与之匹配。,商业银行；大于等于2000亿元与较小机构适用指标不同。,本条为计量定义；公开汇总表的门槛文字为2000亿元以上，应服从具体统计脚注；不公开全国原始现金流出分母。
